"","NMDS1","NMDS2","r","pval","genera","p.adj","x","y"
"g__Aspergillus",0.3983963848894,0.917213345142261,0.461209789636347,0.001,"g__Aspergillus",0.0447857142857143,0,0
"g__Basidioascus",-0.950140494081821,0.311822131199748,0.324556698128411,0.001,"g__Basidioascus",0.0447857142857143,0,0
"g__Cladophialophora",0.997424402498433,-0.0717255972484269,0.496053564971302,0.001,"g__Cladophialophora",0.0447857142857143,0,0
"g__Exophiala",0.804614921109002,-0.59379695917776,0.407412190996488,0.001,"g__Exophiala",0.0447857142857143,0,0
"g__Humicola",0.988162581069423,-0.153410277928881,0.344633463590571,0.001,"g__Humicola",0.0447857142857143,0,0
"g__Ilyonectria",0.974563956161086,0.224109561044709,0.334332761425283,0.001,"g__Ilyonectria",0.0447857142857143,0,0
"g__Metarhizium",0.993005767421334,0.118065853945868,0.508430481497508,0.001,"g__Metarhizium",0.0447857142857143,0,0
"g__Mortierella",0.777184014563078,0.629273396472167,0.651325619840669,0.001,"g__Mortierella",0.0447857142857143,0,0
"g__Pectenia",0.995366434199991,-0.0961543637490989,0.350131118605805,0.001,"g__Pectenia",0.0447857142857143,0,0
"g__Penicillium",-0.941688562038322,-0.336485738369694,0.412563000286519,0.001,"g__Penicillium",0.0447857142857143,0,0
"g__Solicoccozyma",0.377201434812502,-0.926131242090121,0.345723636601384,0.001,"g__Solicoccozyma",0.0447857142857143,0,0
"g__Sterigmatobotrys",0.136589439692624,0.99062774288047,0.281131113543834,0.001,"g__Sterigmatobotrys",0.0447857142857143,0,0
"g__Subulicystidium",0.365339338667582,0.930874410230474,0.323245993414178,0.001,"g__Subulicystidium",0.0447857142857143,0,0
"g__Xenopolyscytalum",0.721588278387469,0.692322436797918,0.34322457222526,0.001,"g__Xenopolyscytalum",0.0447857142857143,0,0
